Year,Annual CO₂ Savings (Gigatons),Cumulative CO₂ Savings (Gigatons),% of Global Emissions (annual),Comparison Metric,Source
2026,0.05 Gt,0.05 Gt,0.14%,Equivalent to 50M cars removed,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2027,0.10 Gt,0.15 Gt,0.28%,Equivalent to 100M cars removed,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2028,0.20 Gt,0.35 Gt,0.56%,Equivalent to Belgium's annual emissions,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2029,0.35 Gt,0.70 Gt,0.97%,Equivalent to Netherlands' annual emissions,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2030,0.50 Gt,1.20 Gt,1.39%,Equivalent to Spain's annual emissions,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2031,0.60 Gt,1.80 Gt,1.67%,Equivalent to Germany's annual emissions,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2032,0.70 Gt,2.50 Gt,1.94%,Equivalent to Japan's annual emissions,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2033,0.80 Gt,3.30 Gt,2.22%,Equivalent to Russia's annual emissions,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2034,0.90 Gt,4.20 Gt,2.50%,Equivalent to global aviation industry,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
2035,1.00 Gt,5.20 Gt,2.78%,Equivalent to global shipping industry,docs/PRESS_KIT/05_CARBON_IMPACT/infographic_data.json
