id,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
0,-0.0411765,-0.0764706,-0.0529412,-0.0294118,0.4568627,-0.0882353,-0.1666667,0.1392157,-0.3705882,0.1549020,0.2490196,0.0725490,-0.4529412,-0.1941176,-0.4294118,0.3980392,-0.0411765,-0.0764706,-0.0529412,-0.0294118,0.4568627,-0.0882353,-0.1666667,0.1392157,-0.3705882,0.1549020,0.2490196,0.0725490,-0.4529412,-0.1941176,-0.4294118,0.3980392
1,-0.1235294,0.3705882,0.0686275,0.0960784,0.3509804,0.2921569,-0.0647059,0.4215686,-0.3627451,0.2725490,-0.4294118,0.3000000,-0.1901961,0.4960784,0.3274510,0.3000000,-0.1235294,0.3705882,0.0686275,0.0960784,0.3509804,0.2921569,-0.0647059,0.4215686,-0.3627451,0.2725490,-0.4294118,0.3000000,-0.1901961,0.4960784,0.3274510,0.3000000
2,-0.3509804,0.4529412,-0.2764706,0.4568627,0.0647059,0.0333333,0.2215686,-0.1980392,0.3274510,0.0254902,0.2019608,0.3823529,0.4647059,-0.4411765,-0.3078431,0.2098039,-0.3509804,0.4529412,-0.2764706,0.4568627,0.0647059,0.0333333,0.2215686,-0.1980392,0.3274510,0.0254902,0.2019608,0.3823529,0.4647059,-0.4411765,-0.3078431,0.2098039
3,-0.0764706,0.4058824,0.3470588,-0.1235294,0.3196078,-0.1392157,-0.0843137,0.2921569,0.3078431,-0.0725490,-0.3078431,-0.0960784,0.0333333,-0.2568627,-0.4843137,0.2137255,-0.0764706,0.4058824,0.3470588,-0.1235294,0.3196078,-0.1392157,-0.0843137,0.2921569,0.3078431,-0.0725490,-0.3078431,-0.0960784,0.0333333,-0.2568627,-0.4843137,0.2137255
4,-0.4647059,-0.3627451,0.3509804,-0.1823529,0.1705882,-0.3627451,0.1823529,0.2725490,-0.2098039,0.3705882,-0.1549020,-0.0294118,0.1823529,-0.1705882,-0.3039216,0.2372549,-0.4647059,-0.3627451,0.3509804,-0.1823529,0.1705882,-0.3627451,0.1823529,0.2725490,-0.2098039,0.3705882,-0.1549020,-0.0294118,0.1823529,-0.1705882,-0.3039216,0.2372549
5,0.4176471,-0.3627451,-0.3666667,-0.1862745,0.4960784,0.2098039,-0.2215686,0.3000000,-0.3117647,0.2529412,-0.3588235,-0.2137255,-0.2490196,0.0960784,0.4411765,0.1666667,0.4176471,-0.3627451,-0.3666667,-0.1862745,0.4960784,0.2098039,-0.2215686,0.3000000,-0.3117647,0.2529412,-0.3588235,-0.2137255,-0.2490196,0.0960784,0.4411765,0.1666667
6,-0.0725490,-0.4372549,-0.4607843,-0.0960784,-0.1901961,-0.4960784,0.0921569,0.4764706,0.4137255,0.3470588,0.2137255,0.3156863,0.2568627,0.1901961,0.0529412,0.1431373,-0.0725490,-0.4372549,-0.4607843,-0.0960784,-0.1901961,-0.4960784,0.0921569,0.4764706,0.4137255,0.3470588,0.2137255,0.3156863,0.2568627,0.1901961,0.0529412,0.1431373
7,0.2215686,-0.0137255,0.4294118,-0.3862745,0.4098039,-0.2843137,0.4450980,-0.4490196,0.1549020,0.4490196,0.3470588,-0.4647059,-0.4686275,0.1666667,-0.0019608,0.0215686,0.2215686,-0.0137255,0.4294118,-0.3862745,0.4098039,-0.2843137,0.4450980,-0.4490196,0.1549020,0.4490196,0.3470588,-0.4647059,-0.4686275,0.1666667,-0.0019608,0.0215686
8,-0.0843137,0.1117647,-0.2450980,-0.2686275,-0.0137255,0.0450980,-0.4803922,-0.2568627,0.4529412,-0.0490196,-0.0411765,-0.0450980,-0.1823529,-0.3196078,-0.1196078,-0.1784314,-0.0843137,0.1117647,-0.2450980,-0.2686275,-0.0137255,0.0450980,-0.4803922,-0.2568627,0.4529412,-0.0490196,-0.0411765,-0.0450980,-0.1823529,-0.3196078,-0.1196078,-0.1784314
9,0.2686275,0.3705882,0.0529412,-0.3313725,-0.2019608,0.0568627,0.1392157,0.0372549,-0.1078431,-0.1980392,0.1705882,0.3705882,-0.0254902,-0.2529412,-0.4647059,-0.4490196,0.2686275,0.3705882,0.0529412,-0.3313725,-0.2019608,0.0568627,0.1392157,0.0372549,-0.1078431,-0.1980392,0.1705882,0.3705882,-0.0254902,-0.2529412,-0.4647059,-0.4490196
10,-0.4882353,0.3705882,-0.3823529,0.3549020,-0.1078431,-0.2960784,0.4411765,-0.1117647,0.4411765,0.1549020,-0.2921569,-0.1901961,-0.2294118,0.3588235,-0.3745098,0.0960784,-0.4882353,0.3705882,-0.3823529,0.3549020,-0.1078431,-0.2960784,0.4411765,-0.1117647,0.4411765,0.1549020,-0.2921569,-0.1901961,-0.2294118,0.3588235,-0.3745098,0.0960784
