id,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
756c7278f46955a3,-0.0411765,-0.0764706,-0.0529412,-0.0294118,0.4568627,-0.0882353,-0.1666667,0.1392157,-0.3705882,0.1549020,0.2490196,0.0725490,-0.4529412,-0.1941176,-0.4294118,0.3980392,-0.0411765,-0.0764706,-0.0529412,-0.0294118,0.4568627,-0.0882353,-0.1666667,0.1392157,-0.3705882,0.1549020,0.2490196,0.0725490,-0.4529412,-0.1941176,-0.4294118,0.3980392
60de9198d9ca6feb,-0.1235294,0.3705882,0.0686275,0.0960784,0.3509804,0.2921569,-0.0647059,0.4215686,-0.3627451,0.2725490,-0.4294118,0.3000000,-0.1901961,0.4960784,0.3274510,0.3000000,-0.1235294,0.3705882,0.0686275,0.0960784,0.3509804,0.2921569,-0.0647059,0.4215686,-0.3627451,0.2725490,-0.4294118,0.3000000,-0.1901961,0.4960784,0.3274510,0.3000000
26f339f49088b84d,-0.3509804,0.4529412,-0.2764706,0.4568627,0.0647059,0.0333333,0.2215686,-0.1980392,0.3274510,0.0254902,0.2019608,0.3823529,0.4647059,-0.4411765,-0.3078431,0.2098039,-0.3509804,0.4529412,-0.2764706,0.4568627,0.0647059,0.0333333,0.2215686,-0.1980392,0.3274510,0.0254902,0.2019608,0.3823529,0.4647059,-0.4411765,-0.3078431,0.2098039
6ce7d860d15c6aca,-0.0764706,0.4058824,0.3470588,-0.1235294,0.3196078,-0.1392157,-0.0843137,0.2921569,0.3078431,-0.0725490,-0.3078431,-0.0960784,0.0333333,-0.2568627,-0.4843137,0.2137255,-0.0764706,0.4058824,0.3470588,-0.1235294,0.3196078,-0.1392157,-0.0843137,0.2921569,0.3078431,-0.0725490,-0.3078431,-0.0960784,0.0333333,-0.2568627,-0.4843137,0.2137255
0923d951ab23aec5,-0.4647059,-0.3627451,0.3509804,-0.1823529,0.1705882,-0.3627451,0.1823529,0.2725490,-0.2098039,0.3705882,-0.1549020,-0.0294118,0.1823529,-0.1705882,-0.3039216,0.2372549,-0.4647059,-0.3627451,0.3509804,-0.1823529,0.1705882,-0.3627451,0.1823529,0.2725490,-0.2098039,0.3705882,-0.1549020,-0.0294118,0.1823529,-0.1705882,-0.3039216,0.2372549
ea232250feb547cc,0.4176471,-0.3627451,-0.3666667,-0.1862745,0.4960784,0.2098039,-0.2215686,0.3000000,-0.3117647,0.2529412,-0.3588235,-0.2137255,-0.2490196,0.0960784,0.4411765,0.1666667,0.4176471,-0.3627451,-0.3666667,-0.1862745,0.4960784,0.2098039,-0.2215686,0.3000000,-0.3117647,0.2529412,-0.3588235,-0.2137255,-0.2490196,0.0960784,0.4411765,0.1666667
6d100a674f0197f9,-0.0725490,-0.4372549,-0.4607843,-0.0960784,-0.1901961,-0.4960784,0.0921569,0.4764706,0.4137255,0.3470588,0.2137255,0.3156863,0.2568627,0.1901961,0.0529412,0.1431373,-0.0725490,-0.4372549,-0.4607843,-0.0960784,-0.1901961,-0.4960784,0.0921569,0.4764706,0.4137255,0.3470588,0.2137255,0.3156863,0.2568627,0.1901961,0.0529412,0.1431373
b87ced1de837f10d,0.2215686,-0.0137255,0.4294118,-0.3862745,0.4098039,-0.2843137,0.4450980,-0.4490196,0.1549020,0.4490196,0.3470588,-0.4647059,-0.4686275,0.1666667,-0.0019608,0.0215686,0.2215686,-0.0137255,0.4294118,-0.3862745,0.4098039,-0.2843137,0.4450980,-0.4490196,0.1549020,0.4490196,0.3470588,-0.4647059,-0.4686275,0.1666667,-0.0019608,0.0215686
6a9c413b7c8b053e,-0.0843137,0.1117647,-0.2450980,-0.2686275,-0.0137255,0.0450980,-0.4803922,-0.2568627,0.4529412,-0.0490196,-0.0411765,-0.0450980,-0.1823529,-0.3196078,-0.1196078,-0.1784314,-0.0843137,0.1117647,-0.2450980,-0.2686275,-0.0137255,0.0450980,-0.4803922,-0.2568627,0.4529412,-0.0490196,-0.0411765,-0.0450980,-0.1823529,-0.3196078,-0.1196078,-0.1784314
c4de8d2b4c8ea389,0.2686275,0.3705882,0.0529412,-0.3313725,-0.2019608,0.0568627,0.1392157,0.0372549,-0.1078431,-0.1980392,0.1705882,0.3705882,-0.0254902,-0.2529412,-0.4647059,-0.4490196,0.2686275,0.3705882,0.0529412,-0.3313725,-0.2019608,0.0568627,0.1392157,0.0372549,-0.1078431,-0.1980392,0.1705882,0.3705882,-0.0254902,-0.2529412,-0.4647059,-0.4490196
03de1eda6434f063,-0.4882353,0.3705882,-0.3823529,0.3549020,-0.1078431,-0.2960784,0.4411765,-0.1117647,0.4411765,0.1549020,-0.2921569,-0.1901961,-0.2294118,0.3588235,-0.3745098,0.0960784,-0.4882353,0.3705882,-0.3823529,0.3549020,-0.1078431,-0.2960784,0.4411765,-0.1117647,0.4411765,0.1549020,-0.2921569,-0.1901961,-0.2294118,0.3588235,-0.3745098,0.0960784
1075cf59bb8d714b,-0.4372549,-0.0411765,0.3117647,-0.1509804,0.2333333,0.0529412,-0.0568627,-0.2058824,0.4607843,-0.1745098,0.4450980,-0.3745098,0.1549020,0.0098039,0.0490196,-0.3352941,-0.4372549,-0.0411765,0.3117647,-0.1509804,0.2333333,0.0529412,-0.0568627,-0.2058824,0.4607843,-0.1745098,0.4450980,-0.3745098,0.1549020,0.0098039,0.0490196,-0.3352941
1b2df5dbe6357061,-0.3941176,-0.3235294,0.4607843,0.3588235,0.4019608,-0.2921569,-0.0607843,-0.1196078,-0.3000000,0.3313725,0.1313725,0.0921569,0.1901961,0.1313725,-0.2411765,0.2686275,-0.3941176,-0.3235294,0.4607843,0.3588235,0.4019608,-0.2921569,-0.0607843,-0.1196078,-0.3000000,0.3313725,0.1313725,0.0921569,0.1901961,0.1313725,-0.2411765,0.2686275
581f06b2b9c7a522,-0.1549020,-0.3784314,-0.4764706,0.1980392,0.2254902,0.2803922,0.1470588,-0.3666667,-0.2176471,-0.0333333,-0.3745098,0.3039216,-0.2372549,0.2921569,-0.1705882,0.2490196,-0.1549020,-0.3784314,-0.4764706,0.1980392,0.2254902,0.2803922,0.1470588,-0.3666667,-0.2176471,-0.0333333,-0.3745098,0.3039216,-0.2372549,0.2921569,-0.1705882,0.2490196
