id,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
1fa2e733a9d83a9b,-0.3784314,0.1352941,0.4058824,-0.3000000,0.1627451,0.3470588,-0.2725490,0.1078431,0.1039216,0.1705882,0.2137255,-0.3156863,-0.0921569,-0.4294118,-0.4372549,-0.4098039,-0.3784314,0.1352941,0.4058824,-0.3000000,0.1627451,0.3470588,-0.2725490,0.1078431,0.1039216,0.1705882,0.2137255,-0.3156863,-0.0921569,-0.4294118,-0.4372549,-0.4098039
d2e78f80468eb0c9,0.3235294,0.4058824,0.0607843,0.0019608,-0.2254902,0.0568627,0.1901961,0.2882353,-0.3392157,0.1901961,-0.0215686,0.3980392,-0.3980392,0.0176471,-0.1431373,-0.3196078,0.3235294,0.4058824,0.0607843,0.0019608,-0.2254902,0.0568627,0.1901961,0.2882353,-0.3392157,0.1901961,-0.0215686,0.3980392,-0.3980392,0.0176471,-0.1431373,-0.3196078
0e53f764c3ae8354,-0.4450980,-0.1745098,0.4686275,-0.1078431,0.2647059,0.1823529,0.0137255,-0.1705882,-0.3078431,0.1588235,0.0490196,0.3980392,0.3549020,-0.3509804,-0.0137255,0.4725490,-0.4450980,-0.1745098,0.4686275,-0.1078431,0.2647059,0.1823529,0.0137255,-0.1705882,-0.3078431,0.1588235,0.0490196,0.3980392,0.3549020,-0.3509804,-0.0137255,0.4725490
918fc608d57a20ea,0.0686275,0.0607843,0.2764706,-0.4686275,0.3352941,-0.0215686,-0.3745098,0.4176471,0.0294118,-0.0764706,-0.1980392,0.4725490,-0.4607843,-0.3627451,-0.1980392,-0.3156863,0.0686275,0.0607843,0.2764706,-0.4686275,0.3352941,-0.0215686,-0.3745098,0.4176471,0.0294118,-0.0764706,-0.1980392,0.4725490,-0.4607843,-0.3627451,-0.1980392,-0.3156863
d6bb2de6d39b6f32,0.3392157,0.2333333,-0.3235294,0.4019608,0.3274510,0.1078431,-0.0647059,-0.3039216,-0.4294118,-0.3431373,0.3313725,-0.3784314,0.3705882,-0.4607843,0.4960784,0.3549020,0.3392157,0.2333333,-0.3235294,0.4019608,0.3274510,0.1078431,-0.0647059,-0.3039216,-0.4294118,-0.3431373,0.3313725,-0.3784314,0.3705882,-0.4607843,0.4960784,0.3549020
cdec948ba7c248df,0.3039216,0.4254902,0.0803922,0.0450980,0.1549020,0.2607843,-0.2176471,0.3745098,0.2215686,0.1588235,0.2019608,-0.3941176,-0.3901961,-0.3980392,-0.3627451,-0.0843137,0.3039216,0.4254902,0.0803922,0.0450980,0.1549020,0.2607843,-0.2176471,0.3745098,0.2215686,0.1588235,0.2019608,-0.3941176,-0.3901961,-0.3980392,-0.3627451,-0.0843137
42a0d41fe3002050,-0.2411765,0.1274510,0.3313725,-0.3784314,0.3901961,-0.5000000,-0.3745098,-0.1862745,0.2882353,0.3588235,0.4333333,-0.4254902,0.4098039,0.3352941,0.2882353,-0.2725490,-0.2411765,0.1274510,0.3313725,-0.3784314,0.3901961,-0.5000000,-0.3745098,-0.1862745,0.2882353,0.3588235,0.4333333,-0.4254902,0.4098039,0.3352941,0.2882353,-0.2725490
c24b9487202b86b1,0.2607843,-0.2058824,0.0803922,0.0294118,-0.3745098,-0.3313725,0.0254902,0.1941176,0.3117647,-0.1392157,-0.4019608,0.3549020,0.2215686,-0.2176471,-0.4254902,0.4137255,0.2607843,-0.2058824,0.0803922,0.0294118,-0.3745098,-0.3313725,0.0254902,0.1941176,0.3117647,-0.1392157,-0.4019608,0.3549020,0.2215686,-0.2176471,-0.4254902,0.4137255
5bce8932fa2e5f0e,-0.1431373,0.3078431,0.0372549,-0.3039216,0.4803922,-0.3196078,-0.1274510,-0.4450980,-0.3666667,-0.3000000,-0.2647059,0.4254902,0.0176471,-0.2411765,0.0450980,-0.4882353,-0.1431373,0.3078431,0.0372549,-0.3039216,0.4803922,-0.3196078,-0.1274510,-0.4450980,-0.3666667,-0.3000000,-0.2647059,0.4254902,0.0176471,-0.2411765,0.0450980,-0.4882353
c7169cffc52c49fb,0.2803922,-0.4137255,0.1117647,0.5000000,0.2725490,-0.3274510,-0.2137255,0.4843137,-0.0803922,-0.1823529,0.1078431,0.2882353,0.3862745,0.4607843,0.3392157,-0.3901961,0.2803922,-0.4137255,0.1117647,0.5000000,0.2725490,-0.3274510,-0.2137255,0.4843137,-0.0803922,-0.1823529,0.1078431,0.2882353,0.3862745,0.4607843,0.3392157,-0.3901961
